|  RAM[0]  |  RAM[1]  |  RAM[2]  |  RAM[1000]  |  RAM[1001]  |  RAM[1002]  |  RAM[1003]  |  RAM[1004]  |  RAM[1005]  |  RAM[1006]  |
|      -1  |    1000  |       4  |          1  |          2  |          3  |          4  |*************|*************|*************|
|      -1  |    1000  |       4  |          1  |          3  |          5  |          7  |*************|*************|*************|
|      -1  |    1000  |       7  |          1  |          5  |          9  |          9  |          14 |          25 |          36 |
|      -1  |    1000  |       6  |          0  |          0  |          0  |          0  |           0 |           0 |*************|
|      -1  |    1000  |       4  |        -10  |         -9  |         -8  |         -1  |*************|*************|*************|
|      -1  |    1000  |       4  |         -3  |         -2  |          0  |          1  |*************|*************|*************|
|      -1  |    1000  |       4  |          1  |          4  |        999  |      32767  |*************|*************|*************|
|      -1  |    1000  |       4  |     -32768  |       -999  |       -666  |        250  |*************|*************|*************|
|      -1  |    1000  |       4  |     -32768  |          1  |        520  |       1314  |*************|*************|*************|
|      -1  |    1000  |       4  |      -1314  |       -520  |         38  |      32767  |*************|*************|*************|
